round,alive_nodes,total_energy_joules,harvested_energy_joules,reroute_events
73,50,82.99011248170243,0.3882285676537811,0
74,50,83.71606823586406,0.7500000000000003,0
75,50,84.75543723480342,1.060660171779821,0
76,50,86.03396989808388,1.2990381056766571,0
77,50,87.46245705506584,1.4488887394336034,0
78,50,88.93929230633391,1.500000000000001,0
79,50,90.36424049660006,1.4488887394336034,0
80,50,91.6425199238088,1.2990381056766573,0
81,50,92.68082374975886,1.060660171779821,0
82,50,93.40961465881577,0.7500000000000003,0
83,50,93.77750038723704,0.3882285676537813,0
84,50,93.75581017619287,0.0,0
85,50,93.73009189741983,0.0,0
86,50,93.70737468831949,0.0,0
87,50,93.68632969422742,0.0,0
88,50,93.66566506050029,0.0,0
89,50,93.64235431587836,0.0,0
90,50,93.6214509442065,0.0,0
91,50,93.60009281167862,0.0,0
92,50,93.57899695373764,0.0,0
93,50,93.55844554410128,0.0,0
94,50,93.53609924643531,0.0,0
95,50,93.51573628514687,0.0,0
96,50,93.49096170105753,0.0,0
97,50,93.85798348746026,0.3882285676537811,0
98,50,94.58568222220015,0.7500000000000003,0
99,50,95.62416157103053,1.060660171779821,0
100,50,96.90244001830963,1.2990381056766571,0
101,50,98.33029491628865,1.4488887394336034,0
102,50,99.79240443309583,1.4826583855174325,0
103,50,99.97502217530786,0.2075955669041747,0
104,50,99.97694165205915,0.02497782469214105,0
105,50,99.97933594032634,0.023058347940846824,0
106,50,99.97878502396271,0.02066405967366647,0
107,50,99.97850746097876,0.02121497603727973,0
108,50,99.95675795947139,0.0,0
109,50,99.9332196270997,0.0,0
110,50,99.91167090930605,0.0,0
111,50,99.89029038441303,0.0,0
112,50,99.8695363842685,0.0,0
113,50,99.84867592225882,0.0,0
114,50,99.82676746338277,0.0,0
115,50,99.80273714559716,0.0,0
116,50,99.78029482692564,0.0,0
117,50,99.75946813178048,0.0,0
118,50,99.7386241807209,0.0,0
119,50,99.71615229262528,0.0,0
120,50,99.69495859429234,0.0,0
121,50,99.95590965150737,0.2835102276945318,0
122,50,99.9788007532197,0.04409034849262894,0
123,50,99.97960458261888,0.021199246780300163,0
124,50,99.9774912490655,0.02039541738112738,0
125,50,99.974989744951,0.022508750934511434,0
126,50,99.97869008605743,0.02501025504899279,0
127,50,99.97899824036837,0.021309913942571423,0
128,50,99.97513369551356,0.021001759631633865,0
129,50,99.97905096099151,0.024866304486432345,0
130,50,99.97913080998063,0.02094903900848588,0
131,50,99.97735341308095,0.020869190019369155,0
132,50,99.95505837701693,0.0,0
133,50,99.93431909194129,0.0,0
134,50,99.91363824772502,0.0,0
135,50,99.89045179271581,0.0,0
136,50,99.86705025205485,0.0,0
137,50,99.84517878182282,0.0,0
138,50,99.82467164321211,0.0,0
139,50,99.80307570908917,0.0,0
140,50,99.78195033762901,0.0,0
141,50,99.7609719824016,0.0,0
